date cases
2023-08-07 89
2023-08-08 82
2023-08-09 65
2023-08-10 91
2023-08-11 100
2023-08-12 56
2023-08-13 58
2023-08-14 122
2023-08-15 112
2023-08-16 106
2023-08-17 93
2023-08-18 70
2023-08-19 60
2023-08-20 48
2023-08-21 92
2023-08-22 94
2023-08-23 78
2023-08-24 87
2023-08-25 100
2023-08-26 84
2023-08-27 45
2023-08-28 117
2023-08-29 23
2023-08-30 19
2023-08-31 70
2023-09-01 98
2023-09-02 46
2023-09-03 44
2023-09-04 55
2023-09-05 107
2023-09-06 90
2023-09-07 100
2023-09-08 111
2023-09-09 50
2023-09-10 58
2023-09-11 109
2023-09-12 94
2023-09-13 98
2023-09-14 95
2023-09-15 95
2023-09-16 60
2023-09-17 57
2023-09-18 99
2023-09-19 86
2023-09-20 81
2023-09-21 75
2023-09-22 109
2023-09-23 56
2023-09-24 52
2023-09-25 63
2023-09-26 126
2023-09-27 99
2023-09-28 85
2023-09-29 107
2023-09-30 44
2023-10-01 25
2023-10-02 92
2023-10-03 96
2023-10-04 93
2023-10-05 103
2023-10-06 91
2023-10-07 48
2023-10-08 46
2023-10-09 101
2023-10-10 92
2023-10-11 93
2023-10-12 104
2023-10-13 86
2023-10-14 38
2023-10-15 54
2023-10-16 92
2023-10-17 94
2023-10-18 87
2023-10-19 92
2023-10-20 89
2023-10-21 41
2023-10-22 60
2023-10-23 81
2023-10-24 75
2023-10-25 88
2023-10-26 72
2023-10-27 110
2023-10-28 44
2023-10-29 54
2023-10-30 80
2023-10-31 89
2023-11-01 76
2023-11-02 68
2023-11-03 95
2023-11-04 34
2023-11-05 67
2023-11-06 86
2023-11-07 88
2023-11-08 86
2023-11-09 95
2023-11-10 53
2023-11-11 54
2023-11-12 50
2023-11-13 106
2023-11-14 98
2023-11-15 102
2023-11-16 100
2023-11-17 87
2023-11-18 51
2023-11-19 48
2023-11-20 102
2023-11-21 97
2023-11-22 87
2023-11-23 54
2023-11-24 48
2023-11-25 41
2023-11-26 39
2023-11-27 90
2023-11-28 91
2023-11-29 101
2023-11-30 111
2023-12-01 114
2023-12-02 52
2023-12-03 55
2023-12-04 92
2023-12-05 70
2023-12-06 79
2023-12-07 109
2023-12-08 87
2023-12-09 45
2023-12-10 32
2023-12-11 81
2023-12-12 78
2023-12-13 128
2023-12-14 95
2023-12-15 89
2023-12-16 47
2023-12-17 24
2023-12-18 65
